Date,FIDLEUI LX Equity  (R2),DODGX US Equity  (L1),PRDGX US Equity  (R1),AGTHX US Equity  (L4),JACTX US Equity  (R3),FCNTX US Equity  (L2),AIVSX US Equity  (R4),FBGRX US Equity  (R1),SCHEUMA LX Equity  (R1),SISEEIA LX Equity  (R1),SCHEMAA LX Equity  (L3),SPXT Index  (R1),SXXR Index  (R1),EURIBOR 3 month,3 month - t bill
12/31/25,21.73,16.59,81.59,80.459999,54.1,24.3,62.66,267.04,,174.7522,29.4183,15220.4502,1481.66,2.0458,3.57
9/30/25,21,17.41,85.41,87.82,60.89,24.76,66.830002,258,,160.1991,27.3914,14826.7998,1392.08,2.0273,3.86
6/30/25,21.31,16.93,82.37,82.199997,56.21,23.33,62.959999,236.67,,154.6868,26.3423,13712.71,1345.42,1.9836,4.24
3/31/25,20.76,16.39,78.42,69.68,47.12,20.02,55.799999,197.51,,145.1116,24.7853,12360.21,1308.14,2.4424,4.21
12/31/24,19.96,16.07,76.86,74.459999,51.65,21.03,57.68,227.17,,134.4241,22.8249,12911.8203,1236.8199,2.8161,4.23
9/30/24,19.86,17.14,82.27,77.629997,55.85,21.11,60.849998,209.98,,139.1063,22.2749,12608.0703,1270.17,3.4337,4.52
6/28/24,18.94,16.05,77.37,73.769997,53.1,20.2,57.18,220,,131.9761,23.6343,11907.1504,1237.65,3.7245,5.22
3/29/24,18.37,16.13,76.36,71.080002,50.23,18.97,55.5,201.37,,129.3714,21.2461,11418.0303,1223.86,3.9224,0
12/29/23,17.5,15.22,70.81,63.16,44.55,16.09,50.400002,173.27,,125.0495,19.2626,10327.8301,1136.87,3.9331,5.2
9/29/23,16.83,14.14,65.49,59.41,42.81,14.9,46.16,151.04,,123.8235,16.9495,9246.7402,1065.41,3.88,5.32
6/30/23,17.14,14.21,68.08,60.889999,44.13,14.92,47.439999,156.42,301.4904,120.747,16.9055,9559.6699,1088.33,3.5359,5.17
3/31/23,16.48,13.53,65.18,55.02,39.73,13.29,43.720001,134.45,296.2355,119.9008,14.4619,8791.1299,1064.16,2.9106,4.68
12/30/22,15.37,13.48,64.1,49.490002,34.84,12.09,41.259998,112.46,275.1971,107.9468,13.8336,8178.02,981.76,2.0635,4.3
9/30/22,14.26,12.38,59.58,50.369999,32.92,12.79,38.400002,114.13,249.235,91.8794,10.9519,7603.1401,893.81,1.0109,3.22
6/30/22,15.37,13.38,62.34,51.77,34.62,13.3,40.889999,116.58,264.7367,103.4694,,7993.4302,934.23,-0.2392,1.66
3/31/22,16.61,15.35,70.32,66.349998,46.49,16.7,49.209999,160.35,305.2789,109.3423,27.5745,9527.46,1032.53,-0.4954,0.51
12/31/21,18.17,15.33,74.07,74.300003,52.53,18.76,51.799999,183.62,324.1224,107.9504,42.7807,9986.7002,1098.6899,-0.582,0.06
9/30/21,17.15,14.75,67.49,75.68,54.99,18.83,50.060001,174.1,314.7966,104.1087,45.0265,8994.8301,1021.47,-0.545,0.04
6/30/21,16.89,14.97,67.24,74.959999,54.18,18.76,49.939999,186.74,312.993,98.9052,40.5338,8942.7803,1012.89,-0.5429,0.05
3/31/21,16.32,13.8,62.84,69.209999,48.07,16.8,47.360001,168.14,298.4778,95.8835,35.7417,8238.4805,951.73,-0.5391,0.03
12/31/20,15.15,12.03,60.01,67.540001,47.21,16.76,44.419998,163.08,279.3189,81.9381,32.6665,7759.3501,879.59,-0.5381,0.09
9/30/20,13.9,10.41,53.83,60.73,45.83,16.68,40.060001,143.71,253.6892,65.8703,27.1613,6918.8301,793.74,-0.4914,0.1
6/30/20,14.32,10.04,49.95,54.700001,40.69,14.92,37.700001,128.12,249.338,68.2179,29.2457,6351.6699,788.72,-0.376,0.16
3/31/20,12.65,8.41,43.23,43.41,32.14,11.76,31.85,92.96,213.7788,59.9951,24.2057,5269.2002,694.95,-0.4166,0.11
12/31/19,16.83,12.11,53.32,51.130001,36.77,13.71,39.57,107.73,278.1235,97.3428,38.2216,6553.5698,897.47,-0.3947,1.52
9/30/19,15.64,11.67,50.45,49.25,36.44,12.86,37.970001,95.01,257.7203,89.5842,34.5579,6008.5898,845.73,-0.4176,1.84
6/28/19,15.99,11.69,49.39,50.34,35.5,13.18,38.150002,101.01,255.0136,88.1528,34.5514,5908.25,824.16,-0.3289,2.08
3/29/19,15.64,11.47,46.71,48.650002,33.48,12.5,37.619999,97.8,246.8819,88.6277,30.8835,5664.46,799.81,-0.3092,2.35
12/31/18,13.75,10.8,41.47,42.759998,28.82,11.01,33.91,84,225.8836,80.9475,27.9549,4984.2202,707.68,-0.3119,2.4
9/28/18,15.8,13.39,46.69,56.689999,36.7,14.09,42.110001,101.74,262.2099,90.5599,29.2758,5763.4199,800.24,-0.3188,2.15
6/29/18,15.82,12.62,43.81,54.009998,34.23,13.21,40.349998,98.74,260.1216,91.3618,28.6783,5350.8301,790.31,-0.322,1.89
3/30/18,14.56,12.32,42.94,51,32.41,12.43,39.720001,90.41,253.5272,88.1096,30.3559,5173.1899,760.1,-0.3279,0
12/29/17,15.36,12.73,43.38,49.540001,30.92,12.24,40.389999,87.76,261.1293,91.7237,29.8595,5212.7598,793.07,-0.3279,1.37
9/29/17,15.18,12.53,41.54,49.599998,32.4,12.12,40.389999,83.82,264.3857,91.5574,28.5822,4887.9702,788.55,-0.3294,1.04
